obs_date,plant_id,height_cm,leaves,internode_cm,spad,lai,note,recorded_by,updated_at
2026-09-16,6,0,0,,,,,Emma,2026-09-21T18:25:09.88+00:00
2026-09-16,7,0,0,,,,,Emma,2026-09-21T18:25:16.619+00:00
2026-09-16,8,7.5,3,,,,,Emma,2026-09-21T18:26:34.27+00:00
2026-09-16,9,8,3,,,,,Emma,2026-09-21T18:26:40.861+00:00
2026-09-16,10,7,2,,,,,Emma,2026-09-21T18:26:47.468+00:00
2026-09-16,11,7.5,2,,,,,Emma,2026-09-21T18:26:54.019+00:00
2026-09-16,12,10,4,,,,,Emma,2026-09-21T18:27:00.735+00:00
2026-09-17,1,0,0,,,,,Emma,2026-09-21T18:34:38.921+00:00
2026-09-17,2,0,0,,,,,Emma,2026-09-21T18:34:40.774+00:00
2026-09-17,3,0,0,,,,,Emma,2026-09-21T18:34:42.115+00:00
2026-09-17,6,0,0,,,,,Emma,2026-09-21T18:35:03.167+00:00
2026-09-17,7,0,0,,,,,Emma,2026-09-21T18:35:05.182+00:00
2026-09-21,1,0,0,,,,,Emma,2026-09-21T18:23:40.331+00:00
2026-09-21,2,0,0,,,,,Emma,2026-09-21T18:23:42.576+00:00
2026-09-21,3,0,0,,,,,Emma,2026-09-21T18:23:44.24+00:00
2026-09-21,4,6,4,,,,,Emma,2026-09-21T18:23:58.913+00:00
2026-09-21,5,12,5,,,,,Emma,2026-09-21T18:24:08.491+00:00
2026-09-21,6,0,0,,,,,Emma,2026-09-21T18:23:49.076+00:00
2026-09-21,7,0,0,,,,,Emma,2026-09-21T18:24:13.532+00:00
2026-09-21,8,14,5,,,,,Emma,2026-09-21T18:24:18.819+00:00
2026-09-21,9,14,4,,,,,Emma,2026-09-21T18:24:23.506+00:00
2026-09-21,10,11.5,4,,,,,Emma,2026-09-21T18:24:31.432+00:00
2026-09-21,11,12,4,,,,,Emma,2026-09-21T18:24:35.199+00:00
2026-09-21,12,17,5,,,,,Emma,2026-09-21T18:24:38.959+00:00
