id,at,actor,action,tbl,row_key,changes
159,2026-09-15T18:12:08.730565+00:00,Emma,update,measurements,2026-09-13 / plant 3,"{""leaves"":null}"
160,2026-09-15T18:12:10.100291+00:00,Emma,delete,measurements,2026-09-13 / plant 3,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-13"",""plant_id"":3,""height_cm"":0,""updated_at"":""2026-09-15T18:12:08.596+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
161,2026-09-15T18:12:11.057702+00:00,Emma,update,measurements,2026-09-13 / plant 2,"{""leaves"":null}"
162,2026-09-15T18:12:12.08702+00:00,Emma,delete,measurements,2026-09-13 / plant 2,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-13"",""plant_id"":2,""height_cm"":0,""updated_at"":""2026-09-15T18:12:10.914+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
163,2026-09-15T18:12:13.055669+00:00,Emma,update,measurements,2026-09-13 / plant 1,"{""leaves"":null}"
164,2026-09-15T18:12:14.379057+00:00,Emma,delete,measurements,2026-09-13 / plant 1,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-13"",""plant_id"":1,""height_cm"":0,""updated_at"":""2026-09-15T18:12:12.917+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
165,2026-09-15T18:12:24.183121+00:00,Emma,update,measurements,2026-09-11 / plant 1,"{""leaves"":1}"
166,2026-09-15T18:12:26.029816+00:00,Emma,update,measurements,2026-09-11 / plant 1,"{""leaves"":0}"
167,2026-09-15T18:12:31.047445+00:00,Emma,update,measurements,2026-09-11 / plant 2,"{""leaves"":0}"
168,2026-09-15T18:12:35.35469+00:00,Emma,update,measurements,2026-09-11 / plant 2,"{""height_cm"":0}"
169,2026-09-15T18:12:38.274827+00:00,Emma,update,measurements,2026-09-11 / plant 1,"{""height_cm"":0}"
170,2026-09-15T18:12:39.748401+00:00,Emma,update,measurements,2026-09-11 / plant 3,"{""height_cm"":0}"
171,2026-09-15T18:12:40.450858+00:00,Emma,update,measurements,2026-09-11 / plant 3,"{""leaves"":0}"
172,2026-09-15T18:12:44.610527+00:00,Emma,update,measurements,2026-09-11 / plant 6,"{""height_cm"":0}"
173,2026-09-15T18:12:46.115878+00:00,Emma,update,measurements,2026-09-11 / plant 6,"{""leaves"":0}"
174,2026-09-15T18:12:49.498571+00:00,Emma,update,measurements,2026-09-11 / plant 4,"{""height_cm"":0}"
175,2026-09-15T18:12:50.90766+00:00,Emma,update,measurements,2026-09-11 / plant 4,"{""leaves"":0}"
176,2026-09-15T18:12:53.794059+00:00,Emma,update,measurements,2026-09-11 / plant 7,"{""height_cm"":0}"
177,2026-09-15T18:12:55.607471+00:00,Emma,update,measurements,2026-09-11 / plant 7,"{""leaves"":0}"
178,2026-09-15T18:13:05.821474+00:00,Emma,update,measurements,2026-09-10 / plant 1,"{""height_cm"":0}"
179,2026-09-15T18:13:06.565595+00:00,Emma,update,measurements,2026-09-10 / plant 1,"{""leaves"":0}"
180,2026-09-15T18:13:07.880785+00:00,Emma,update,measurements,2026-09-10 / plant 2,"{""height_cm"":0}"
181,2026-09-15T18:13:08.838411+00:00,Emma,update,measurements,2026-09-10 / plant 2,"{""leaves"":0}"
182,2026-09-15T18:13:10.276157+00:00,Emma,update,measurements,2026-09-10 / plant 3,"{""height_cm"":0}"
183,2026-09-15T18:13:11.144952+00:00,Emma,update,measurements,2026-09-10 / plant 3,"{""leaves"":0}"
184,2026-09-15T18:13:12.849675+00:00,Emma,update,measurements,2026-09-10 / plant 6,"{""leaves"":0}"
185,2026-09-15T18:13:13.598381+00:00,Emma,update,measurements,2026-09-10 / plant 6,"{""height_cm"":0}"
186,2026-09-15T18:13:15.219223+00:00,Emma,update,measurements,2026-09-10 / plant 5,"{""leaves"":0}"
187,2026-09-15T18:13:16.515017+00:00,Emma,update,measurements,2026-09-10 / plant 4,"{""leaves"":0}"
188,2026-09-15T18:13:17.897709+00:00,Emma,update,measurements,2026-09-10 / plant 4,"{""height_cm"":0}"
189,2026-09-15T18:13:20.190792+00:00,Emma,update,measurements,2026-09-10 / plant 7,"{""height_cm"":0}"
190,2026-09-15T18:13:20.949405+00:00,Emma,update,measurements,2026-09-10 / plant 7,"{""leaves"":0}"
191,2026-09-15T18:13:22.846055+00:00,Emma,update,measurements,2026-09-10 / plant 8,"{""leaves"":0}"
192,2026-09-15T18:13:24.409363+00:00,Emma,update,measurements,2026-09-10 / plant 9,"{""leaves"":0}"
193,2026-09-15T18:13:26.261119+00:00,Emma,update,measurements,2026-09-10 / plant 12,"{""leaves"":0}"
194,2026-09-15T18:13:27.590905+00:00,Emma,update,measurements,2026-09-10 / plant 11,"{""leaves"":0}"
195,2026-09-15T18:13:29.043052+00:00,Emma,update,measurements,2026-09-10 / plant 10,"{""leaves"":0}"
196,2026-09-15T18:13:34.794347+00:00,Emma,update,measurements,2026-09-09 / plant 1,"{""height_cm"":0}"
197,2026-09-15T18:13:35.875493+00:00,Emma,update,measurements,2026-09-09 / plant 1,"{""leaves"":0}"
198,2026-09-15T18:13:38.048926+00:00,Emma,update,measurements,2026-09-09 / plant 2,"{""height_cm"":0}"
199,2026-09-15T18:13:39.076558+00:00,Emma,update,measurements,2026-09-09 / plant 2,"{""leaves"":0}"
200,2026-09-15T18:13:40.641334+00:00,Emma,update,measurements,2026-09-09 / plant 3,"{""height_cm"":0}"
201,2026-09-15T18:13:41.545958+00:00,Emma,update,measurements,2026-09-09 / plant 3,"{""leaves"":0}"
202,2026-09-15T18:13:42.987951+00:00,Emma,update,measurements,2026-09-09 / plant 6,"{""leaves"":0}"
